City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,sangmelima,2.9333,11.9833,18.96,99,94,1.24,CM,1673929649
141,yar-sale,66.8333,70.8333,-13.93,95,100,6.7,RU,1673929650
142,snezhnogorsk,69.1933,33.2531,0.88,91,100,5.81,RU,1673929651
143,petropavlovsk-kamchatskiy,53.0452,158.6483,-13.67,40,40,3.0,RU,1673929652
144,port blair,11.6667,92.75,28.02,61,40,4.12,IN,1673929654
145,wamba,8.9333,8.6,21.04,24,99,1.76,NG,1673929429
146,rocha,-34.4833,-54.3333,17.05,94,0,2.96,UY,1673929656
147,hithadhoo,-0.6,73.0833,26.45,67,40,2.35,MV,1673929657
148,baltasi,56.3462,50.2062,-13.96,93,27,5.47,RU,1673929659
149,jalu,29.0331,21.5482,11.58,65,0,3.38,LY,1673929660
150,kaitangata,-46.2817,169.8464,18.4,65,79,5.73,NZ,1673929661
151,warrnambool,-38.3833,142.4833,29.21,43,87,2.8,AU,1673929662
152,aksarka,66.5606,67.7975,-12.63,98,100,3.03,RU,1673929664
153,doume,4.2333,13.45,18.06,40,100,0.85,CM,1673929665
154,talnakh,69.4865,88.3972,-36.79,84,3,1.46,RU,1673929666
155,isangel,-19.55,169.2667,27.25,63,97,5.73,VU,1673929667
156,aldan,58.6031,125.3894,-38.33,90,100,1.1,RU,1673929669
157,lebu,-37.6167,-73.65,12.79,91,8,6.94,CL,1673929670
158,castro,-24.7911,-50.0119,18.46,96,100,1.47,BR,1673929671
159,seydi,39.4816,62.9137,-8.8,81,20,1.85,TM,1673929672
160,yertsevo,60.7966,40.086,-5.98,93,100,4.28,RU,1673929674
161,warner robins,32.621,-83.5999,11.97,66,75,0.0,US,1673929613
162,corn island,12.1694,-83.0418,25.45,73,24,6.6,NI,1673929676
163,lorengau,-2.0226,147.2712,28.93,68,100,2.78,PG,1673929677
164,uray,60.1247,64.7758,-11.37,84,14,4.52,RU,1673929678
165,cidreira,-30.1811,-50.2056,23.47,81,74,5.08,BR,1673929680
166,baker city,44.7749,-117.8344,0.89,86,0,2.06,US,1673929681
167,cherskiy,68.75,161.3,-36.97,95,100,1.67,RU,1673929682
168,iqaluit,63.7506,-68.5145,-31.84,74,20,0.0,CA,1673929684
169,kifri,34.6959,44.9661,10.33,62,100,2.1,IQ,1673929685
170,codrington,-38.2667,141.9667,35.63,21,94,4.02,AU,1673929687
171,mareeba,-17.0,145.4333,30.8,77,100,3.07,AU,1673929688
172,sao filipe,14.8961,-24.4956,24.68,63,100,3.09,CV,1673929690
173,aykhal,66.0,111.5,-42.22,100,100,2.77,RU,1673929691
174,saint-philippe,-21.3585,55.7679,27.77,79,42,6.03,RE,1673929693
175,apt,43.8833,5.4,3.99,94,100,2.73,FR,1673929694
176,tuskegee,32.424,-85.6916,12.64,54,100,3.39,US,1673929696
177,dunedin,-45.8742,170.5036,16.56,75,48,0.89,NZ,1673929697
178,quesnel,52.9999,-122.5029,-1.72,93,0,0.0,CA,1673929699
179,new norfolk,-42.7826,147.0587,29.28,16,69,1.12,AU,1673929700
180,antalaha,-14.9003,50.2788,24.57,83,84,2.27,MG,1673929701
181,ostersund,63.1792,14.6357,-8.75,100,20,5.14,SE,1673929703
182,tooele,40.5308,-112.2983,1.3,96,100,0.45,US,1673929704
183,luanda,-8.8368,13.2343,25.0,83,75,2.57,AO,1673929706
184,egvekinot,66.3167,-179.1667,-29.14,84,46,8.38,RU,1673929707
185,hobyo,5.3505,48.5268,24.71,71,1,7.95,SO,1673929708
186,shelburne,44.0787,-80.2041,0.44,72,100,4.09,CA,1673929710
187,axim,4.8699,-2.2405,25.77,81,10,0.89,GH,1673929711
188,atasu,48.6814,71.6433,-18.06,78,67,2.15,KZ,1673929712
189,mabaruma,8.2,-59.7833,21.59,93,9,1.04,GY,1673929714
190,vao,-22.6667,167.4833,24.27,69,100,7.11,NC,1673929715
191,yangambi,0.8102,24.4336,21.09,84,100,0.86,CD,1673929717
192,salalah,17.0151,54.0924,22.05,78,75,1.54,OM,1673929718
193,alice springs,-23.7,133.8833,34.75,24,1,3.09,AU,1673929421
194,sri aman,1.2376,111.4621,31.03,70,20,1.54,MY,1673929720
195,mandalgovi,45.7625,106.2708,-14.36,51,0,6.61,MN,1673929722
196,inirida,3.8653,-67.9239,23.12,91,100,0.76,CO,1673929723
197,harper,4.375,-7.7169,25.22,81,1,0.57,LR,1673929724
198,nanpiao,41.0982,120.7479,-2.78,28,13,5.51,CN,1673929726
199,boyolangu,-8.1181,111.8935,28.79,74,60,2.85,ID,1673929727
200,sibu,2.3,111.8167,30.17,66,40,1.03,MY,1673929729
201,lazaro cardenas,17.9583,-102.2,23.35,78,8,1.48,MX,1673929730
202,padang,-0.9492,100.3543,27.03,66,99,1.62,ID,1673929731
203,les cayes,18.2,-73.75,19.91,79,0,2.9,HT,1673929733
